Run,Run
"Please select the checkbox above","Please select the checkbox above"
"%s is not writable","%s is not writable"
"More in %s...","More in %s..."
"Completed. {count} items were processed.","Completed. {count} items were processed."
Success,Success
"An error occured:","An error occured:"
"Easy Catalog Images","Easy Catalog Images"
"Use category image, when thumbnail is not available","Use category image, when thumbnail is not available"
"Use image helper to resize images","Use image helper to resize images"
"Background color","Background color"
"Image placeholder","Image placeholder"
"Allowed file types:PNG, GIF, JPG, JPEG, SVG.","Allowed file types:PNG, GIF, JPG, JPEG, SVG."
"Category page","Category page"
"Enabled for default categories","Enabled for default categories"
"Enabled for anchor categories","Enabled for anchor categories"
"Hidden, when filter or pagination is used","Hidden, when filter or pagination is used"
"Number of categories to show","Number of categories to show"
"Columns count","Columns count"
"Show images","Show images"
"Image width","Image width"
"Image height","Image height"
"Number of subcategories to show","Number of subcategories to show"
"Automated Image Assignment","Automated Image Assignment"
"Fill category thumbnails","Fill category thumbnails"
"Search in child categories","Search in child categories"
"Select Category...","Select Category..."
"Categories to show","Categories to show"
"Categories to hide","Categories to hide"
